"word","resp"
"mathematics","mathematics;physics;strictness;calculations;3;3;5;3"
"complex","complex;scaling;level;integration;3;3;3;5"
"art","art;shape;idea;message;3;5;5;5"
"chemistry","chemistry;synthesis;smell;substances;3;4;1;3"
"life","life;form;exchange;transformation;5;5;5;5"
"biology","biology;life;animal;programs (i.e. running algorithms);5;5;5;5"
"system","system;hierarchy;integration;function;3;3;5;4"
"school","school;institute (i.e. social institute);pipeline;children;3;3;2;3"
"university","university;teaching;army;center;3;3;1;5"
"physics","physics;processes;regime;stability;5;3;5;5"
"age","28"
"gender","masculine"
"nationality","french"
"firstlang","french"
"job","Scientist (physicist)"
