"word","resp"
"school","school;class;early mornings;grades;2;2;1;1"
"physics","physics;research;nature/universe;experiment;5;5;5;4"
"mathematics","mathematics;algebra;analysis;geometry;5;5;5;4"
"university","university;exams;lectures;administration;2;1;2;1"
"life","life;death;;;3;3;;"
"art","art;gallery;painting;music;5;5;5;5"
"biology","biology;cells;genetics;animal life;4;3;5;3"
"system","system;analysis;design;specifications;3;3;3;3"
"chemistry","chemistry;reactions;materials;solution;3;3;3;3"
"complex","complex;analysis;problem;;3;3;3;"
"age","27"
"gender","Male"
"nationality","Serbian"
"firstlang","Serbian"
"job","PhD student in physics"
