"word","resp"
"biology","biology;science;anatomy;body;3;4;3;3"
"complex","complex;system;structure;interconnections;4;4;4;5"
"university","university;study;students;degree;4;3;3;3"
"chemistry","chemistry;atoms;molecules;laboratory;3;4;4;4"
"physics","physics;force;engineering;Newton;5;4;4;5"
"mathematics","mathematics;equations;numbers;theorems;4;4;4;3"
"system","system;complex;dynamics;components;4;4;4;5"
"life","life;complex;;;3;2;;"
"art","art;beautiful;essential;expressive;4;5;4;5"
"school","school;system;competitive;education;3;3;3;5"
"age","27"
"gender","Female"
"nationality",""
"firstlang",""
"job","Engineer"
