"word","resp"
"mathematics","mathematics;kitchen;tears;circles;3;4;1;5"
"biology","biology;spring;skin;excitement;5;5;5;5"
"university","university;tribe;challenge;a friend;4;4;5;5"
"life","life;consciousness;joy;transformation;5;5;5;5"
"system","system;concept;mind;relations;4;4;4;5"
"school","school;movie;greek language;hive;3;4;5;3"
"complex","complex;view;sediments;ideas;4;3;5;5"
"chemistry","chemistry;legs;stones;smells;4;5;5;5"
"art","art;messenger;when time stops;below;4;5;5;5"
"physics","physics;magic;father;nature;4;5;4;5"
"age","33"
"gender","female"
"nationality","Serbian"
"firstlang","Serbian"
"job","special educator"
