"word","resp"
"university","university;student ;study ;knowledge;5;4;4;5"
"physics","physics;spiral;universe;momentum ;5;5;5;4"
"school","school;friends ;math;;4;5;4;"
"complex","complex;chaos;dynamics ;feedback;5;5;5;5"
"biology","biology;cells ;proteins ;microscope;4;4;3;3"
"mathematics","mathematics;tool;counting;dimensions;5;4;4;5"
"life","life;teeming ;thriving ;jungle;5;5;5;5"
"chemistry","chemistry;assays ;pipete ;LB Broth;4;3;3;2"
"system","system;complexity ;holistic;integrated;5;5;5;5"
"art","art;angles ;shading ;symbols;5;5;5;5"
"age","42"
"gender","female"
"nationality","USA"
"firstlang","english"
"job","director of research lab"
