"word","resp"
"university","university;sociology;knowledge;thinking;5;4;4;5"
"physics","physics;understanding;world;mechanics;4;5;5;3"
"school","school;playing;knowledge;integration;3;4;4;3"
"complex","complex;differentiated;specialization;structure;4;3;3;3"
"biology","biology;cell;life;intrinsic;4;3;4;3"
"mathematics","mathematics;numbers;apstract;thinking;4;3;4;5"
"life","life;beautiful;important;fight;4;3;4;4"
"chemistry","chemistry;liquids;colorful;hard work;3;3;3;3"
"system","system;function;survival;useful;4;4;4;4"
"art","art;estethics;individual;playful;5;4;4;4"
"age","20"
"gender","feminine"
"nationality","serbian"
"firstlang","serbian"
"job","student"
