"word","resp"
"art","art;world;beauty;bullshit;5;5;5;3"
"university","university;great;mistery;joy;5;5;4;4"
"physics","physics;everything;friend;universe;5;5;5;5"
"system","system;belief;thought;pattern;5;2;5;5"
"complex","complex;system;interconnected;contradictory;5;5;5;5"
"mathematics","mathematics;thinking;women;complex;5;5;5;5"
"life","life;biology;great;death;5;5;5;4"
"biology","biology;evolution;antivaxers;stupidity;5;5;1;1"
"chemistry","chemistry;lab;test-tube;set;5;5;5;5"
"school","school;joy;learning;new;5;5;5;5"
"age","37"
"gender","woman"
"nationality","I live in Serbia"
"firstlang","Serbo-Croatian"
"job","precarious part-time teacher and researcher"
