"word","resp"
"school","school;classroom;students;teachers;4;4;4;4"
"mathematics","mathematics;algebra;function;numerical analysis;5;4;;"
"system","system;complex;interdependance;parts;;;;"
"chemistry","chemistry;molecule;periodic table ;materials;;;;"
"complex","complex;interaction;bounded rationality;reaction;;;;"
"university","university;studies;degree;campus;;;;"
"life","life;years;ambition;dreams;;;;"
"biology","biology;nature;;;;;;"
"art","art;music;poetry;painting;;;;"
"physics","physics;dynamics;motion;energy;;;;"
"age","27"
"gender","F"
"nationality","Moroccan"
"firstlang","Arabic"
"job","PhD Candidate"
