"word","resp"
"art","art;beauty;creativiry;nature;5;5;5;5"
"mathematics","mathematics;geometry;statistics;count;4;5;5;4"
"life","life;death;end;begin;3;3;3;3"
"school","school;study;curriculum;work;4;4;5;4"
"chemistry","chemistry;organic;periodic table;neil bohr's model;3;3;4;4"
"complex","complex;easy;simplify;explain;4;3;4;4"
"system","system;boundary;design;flow;4;3;4;5"
"biology","biology;life;plants;animal;3;3;3;3"
"physics","physics;newton's laws;things;electronics;4;5;3;4"
"university","university;study;school;work;5;5;5;5"
"age","34"
"gender","female"
"nationality","pakistani"
"firstlang","sindhi"
"job","teacher"
