"word","resp"
"system","system;computer;administrator;racism;3;4;2;1"
"life","life;style;death;sciences;4;4;1;4"
"school","school;day;lunchbox;party;4;4;4;5"
"physics","physics;Feynman;Newton;statistical;3;4;3;4"
"chemistry","chemistry;Curie;neuro;lab;2;5;3;2"
"mathematics","mathematics;divide;fun;quantitative;4;3;5;4"
"university","university;classes;campus;dean;4;3;4;2"
"complex","complex;system;concept;stochastic;4;5;3;4"
"art","art;history;visual;videography;3;3;4;3"
"biology","biology;ecology;morphology;class;4;5;3;4"
"age","33"
"gender","Female"
"nationality","US"
"firstlang","English"
"job","data scientist"
