"word","resp"
"school","school;learning;academics;skills;4;5;3;4"
"complex","complex;broad;hard;messy;4;4;2;2"
"physics","physics;simple;laws;coarse ;3;4;3;2"
"university","university;bureaucratic ;stogy ;education;2;1;1;4"
"system","system;the whole;scale;connections ;4;4;3;4"
"life","life;philosophical ;undefined ;evolution ;4;4;2;4"
"biology","biology;evolution;life;system;3;4;4;3"
"chemistry","chemistry;medicine;beaker;labs;3;4;3;3"
"mathematics","mathematics;pure;simple;proof   ;3;4;2;4"
"art","art;creative;fun;emotional ;4;5;5;3"
"age","30"
"gender","female"
"nationality","USA"
"firstlang","English "
"job","Higher-Education "
