"word","resp"
"system","system;network;science;dynamic;5;5;5;5"
"chemistry","chemistry;biology;science;chemicals;5;5;5;3"
"biology","biology;anthropology;human;animal;5;5;5;5"
"mathematics","mathematics;statistics;awesome;yay;4;5;5;5"
"life","life;death;humans;plants;5;1;5;5"
"school","school;university ;class;learn;5;5;5;5"
"complex","complex;system;math;idea;5;5;5;5"
"art","art;music;statistics;painting;5;5;5;5"
"university","university;class;learn;academy;5;5;5;5"
"physics","physics;chemistry;biology;engineering;5;5;5;4"
"age","48"
"gender","female"
"nationality","american"
"firstlang","englsh"
"job","professor"
