"word","resp"
"life","life;Death;Love;Breathe;5;5;5;5"
"art","art;Humanity;Painting;Creative;5;5;5;5"
"university","university;Okay;Nice;Books;4;3;5;5"
"biology","biology;Life;Plants;Insects;5;5;5;5"
"complex","complex;Mind;Puzzle;Game;5;5;5;5"
"system","system;Computer;Order;Government;4;4;4;1"
"physics","physics;Friends;Science;High school;4;5;5;4"
"mathematics","mathematics;Fun;Paris;Cousin;4;5;5;5"
"school","school;Over;Playground;Supplies;3;2;3;4"
"chemistry","chemistry;New;Teacher;Reaction;4;5;4;3"
"age","22"
"gender","Female"
"nationality","Serbian"
"firstlang","Serbian"
"job","Student"
