"word","resp"
"art","art;painting;beauty;music;5;3;5;5"
"mathematics","mathematics;logic;formula ;equation;5;5;5;5"
"biology","biology;cell;development;dna;5;5;5;3"
"physics","physics;particles;motion;mechanics;5;3;5;5"
"university","university;study;exam;book;4;3;2;4"
"school","school;book;class;student;4;4;4;3"
"system","system;informatics;model;complex;3;4;5;5"
"complex","complex;system;hard;network;5;5;3;5"
"chemistry","chemistry;molecules;proteins;interaction;5;5;5;5"
"life","life;science;development;complexity;5;5;5;5"
"age","31"
"gender","female"
"nationality","italian"
"firstlang","italian"
"job","researcher"
