"word","resp"
"physics","physics;Math;Particle;Prism;;4;5;5"
"university","university;Book;Learning;Buildung;;5;5;2"
"system","system;Solar;Computer;Equation;;5;5;5"
"chemistry","chemistry;Love;Polymer;Atom;;5;5;5"
"school","school;Learning;Test;Friends;;5;2;4"
"biology","biology;Frog;Cell;Nerve impuls;;2;5;5"
"art","art;Painting;Museum;Poetry;;5;5;2"
"mathematics","mathematics;Equation;Normal distribution;Integral;;5;4;5"
"complex","complex;Compound;Cis platin;Numbers;;5;5;5"
"life","life;Biology;Origin of;Water;;5;5;5"
"age","20"
"gender","Female"
"nationality","Serbian"
"firstlang","Serbian"
"job","Chemistry student"
