"word","resp"
"life","life;baby;husband;coding;5;5;5;5"
"physics","physics;quantum;mistress;meta;5;5;5;5"
"university","university;uet;asim loan;teaching;3;3;5;3"
"complex","complex;programming;living;problem;3;5;3;2"
"school","school;memory;friends;building;4;5;5;5"
"biology","biology;cell;life cycle;doctor;2;2;2;2"
"system","system;government;support;education;3;1;5;1"
"mathematics","mathematics;dry;beautiful;design;4;1;3;4"
"chemistry","chemistry;test tubes;carbon;hexagon;2;3;3;3"
"art","art;abstract;doodle;waste;4;4;4;4"
"age","26"
"gender","Female"
"nationality","Pakistani"
"firstlang","Urdu"
"job","Freelancer Computer Scientist"
