"word","resp"
"system","system;complex;network;rigid;3;5;5;1"
"university","university;study;institution;beurocracy;4;5;2;1"
"physics","physics;math;curiosity;science;4;4;5;5"
"chemistry","chemistry;labs;precision;knowledge;3;3;3;4"
"mathematics","mathematics;clean;useful;incomplete;3;3;4;2"
"biology","biology;messy;women;challenging;3;2;5;5"
"complex","complex;interesting;messy;challenging;5;5;5;5"
"school","school;learning;undervalued;children;3;5;1;4"
"life","life;calm;exciting;love;5;5;5;5"
"art","art;beautiful;cozy;jarring;4;5;4;1"
"age","26"
"gender","Female"
"nationality","Sweden & USA"
"firstlang","Swedish & English"
"job","Graduate Researcher"
