"word","resp"
"biology","biology;cell;animal;mause;4;5;5;3"
"mathematics","mathematics;equation;simulation;plot;5;5;3;5"
"physics","physics;nature;law;mechanism;5;5;3;4"
"life","life;experience;biology;nature;5;5;3;5"
"school","school;education;student;learning;5;5;5;4"
"complex","complex;heterogenous;non-linear;emerging ;5;;5;5"
"art","art;beauty;concept;thinking;5;5;5;5"
"system","system;organisation;emerging;behaviour;5;5;5;5"
"chemistry","chemistry;particles;reactions;materials;5;5;5;5"
"university","university;disciplines;scholars;education;5;5;4;5"
"age","38"
"gender","female"
"nationality","Italian"
"firstlang","Italian"
"job","researcher"
