"word","resp"
"physics","physics;math;phenomena;complexity ;5;5;5;5"
"life","life;interactions;joy ;courage;5;5;5;5"
"biology","biology;animals;plants;green;5;5;5;5"
"system","system;state;constitution ;organitation;5;4;5;5"
"art","art;poetry;flux ;freedom ;5;5;5;5"
"mathematics","mathematics;cifre;logic;universal ;5;5;5;5"
"complex","complex;traffic ;system ;problem;5;1;5;3"
"chemistry","chemistry;gown;experiment;laboratory ;5;3;5;5"
"school","school;learning;friendship ;blackboard;5;5;5;2"
"university","university;faculty ;manifestations;title;5;5;5;4"
"age","27"
"gender","F"
"nationality","Italian"
"firstlang","Italian"
"job","PhD student"
