"word","resp"
"physics","physics;complexity;universe;mistery;5;5;5;4"
"life","life;mistery;complexity;joy;5;4;5;5"
"biology","biology;complexity;nature;life;5;5;5;5"
"system","system;organization;composition;relations;5;5;4;4"
"art","art;creativity;communication;association;3;5;5;4"
"mathematics","mathematics;structure;beauty;perfection;5;4;5;5"
"complex","complex;complicated;nature;unpredictable;5;4;5;5"
"chemistry","chemistry;bond;transformation;power;5;4;4;4"
"school","school;study;classroom;boredome;5;5;3;2"
"university","university;discover;knowledge;science;5;5;5;5"
"age","36"
"gender","Male"
"nationality","Italian"
"firstlang","Italian"
"job","Data-science"
