"word","resp"
"school","school;kids;study;teachers;4;3;4;4"
"system","system;complex;ordered;disordered;3;4;2;4"
"art","art;paint;human;representation;5;4;4;4"
"physics","physics;nature;greece;models;5;5;4;4"
"chemistry","chemistry;atoms;reactant;professor;4;5;3;4"
"complex","complex;nature;networks;brain;5;5;5;5"
"life","life;path;possibility;finite;5;3;5;2"
"mathematics","mathematics;formula;language;equations;4;4;5;4"
"biology","biology;cell;life;experiments;5;5;5;4"
"university","university;campus;study;learning;4;3;4;5"
"age","33"
"gender","Male"
"nationality","Italian"
"firstlang","Italian"
"job","data scientist"
