"word","resp"
"complex","complex;systems;networks;hard;3;3;4;2"
"chemistry","chemistry;glass;solvent;blouse;1;3;1;1"
"physics","physics;calculation;gravity;equation;4;4;4;5"
"system","system;computer;equations;construction;3;4;5;5"
"school","school;pupil;teacher;classroom;2;2;3;2"
"art","art;picture;painting;statue;4;4;3;5"
"mathematics","mathematics;abstraction;language;demonstration;5;5;4;5"
"biology","biology;cells;living beings;protein;2;2;4;2"
"university","university;studies;research;professor;2;4;2;2"
"life","life;happy;love;friends;5;5;5;5"
"age","22"
"gender","male"
"nationality","French"
"firstlang","French"
"job","student"
