"word","resp"
"school","school;studying;homework;teenager;4;4;2;4"
"life","life;living being;animals;plants;4;4;5;5"
"chemistry","chemistry;laboratory;electron;periodic table;4;3;4;4"
"mathematics","mathematics;school;university;rigorous;5;3;4;3"
"system","system;equations;model;linear;3;2;5;4"
"complex","complex;system;emergent;descriptive;5;4;5;5"
"university","university;study;mathematics;professor;5;4;5;4"
"biology","biology;animals;plants;cell;5;5;5;5"
"art","art;painting;sculpture;architecture;5;5;5;4"
"physics","physics;quantum;relativity;biophysics;4;2;4;5"
"age","29"
"gender","M"
"nationality","Italian"
"firstlang","Italian"
"job","Data Science Employee"
