"word","resp"
"art","art;color;painting;see;4;5;4;5"
"biology","biology;animal;body;earth;2;4;4;4"
"school","school;learn;teacher;student;3;5;4;4"
"university","university;study;student;learn;3;2;4;5"
"system","system;network;sets;interaction;3;3;3;3"
"life","life;breath;body;system;4;3;4;3"
"complex","complex;challenging;worth;understand;2;1;4;4"
"chemistry","chemistry;reaction;liquid;solution;3;3;3;3"
"mathematics","mathematics;formula;symbol;number;3;2;3;3"
"physics","physics;interaction;small;large;3;3;3;3"
"age","36"
"gender","male"
"nationality","USA"
"firstlang","English"
"job","professor"
