"word","resp"
"mathematics","mathematics;geometry;science;life;;;;"
"life","life;spirit;animal;eat;5;4;5;4"
"university","university;study;book;library;4;4;5;5"
"school","school;child;learn;lesson;4;4;5;4"
"system","system;network;boring;authority;3;4;2;2"
"complex","complex;system;network;science;3;3;4;4"
"biology","biology;animals;life;cells;4;5;5;3"
"art","art;paiting;sculpture;creativity;5;5;4;5"
"physics","physics;maths;universe;solid;4;4;4;3"
"chemistry","chemistry;reaction;test tube;experiment;4;3;3;4"
"age","35"
"gender","m"
"nationality","uk"
"firstlang","english"
"job","dr"
