"word","resp"
"life","life;death;green;alive;4;1;4;4"
"system","system;gears;complex;dynamical;3;4;3;4"
"mathematics","mathematics;calculus;curve;graph;4;3;4;3"
"physics","physics;book;maths;university;4;4;4;4"
"university","university;physics;manchester;halls;4;4;4;3"
"chemistry","chemistry;experiment;explosion;flask;4;4;4;3"
"art","art;colour;beauty;draw;4;5;5;4"
"biology","biology;experiment;animal;cell;3;3;3;3"
"school","school;uniform;conformity;class;3;3;2;2"
"complex","complex;system;analysis;city;4;3;3;4"
"age","25"
"gender","Male"
"nationality","British"
"firstlang","Enlish"
"job","PhD Student"
