"word","resp"
"mathematics","mathematics;science;formula;equation;5;5;4;3"
"biology","biology;animals;science;sex;5;4;5;3"
"university","university;education;science;lectures;4;5;5;3"
"physics","physics;science;universe;mathematics;5;5;4;5"
"chemistry","chemistry;science;test-tube;acid;5;5;3;3"
"system","system;complex;education;;3;3;4;"
"school","school;pupils;education;learning;3;3;4;5"
"life","life;death;happiness;choices;5;1;5;4"
"art","art;meaning;feeling;visualisation;4;4;4;3"
"complex","complex;system;complicated;world;3;3;3;4"
"age","27"
"gender","male"
"nationality","polish"
"firstlang","polish"
"job","scientist"
