"word","resp"
"art","art;Beauty;Form;Technique;;;;"
"chemistry","chemistry;Bonds;Energies;Elements;;;;"
"physics","physics;Forces;Matter;Universe;;;;"
"biology","biology;Health;Species;Biochemistry;;;;"
"school","school;Dull;Stimulating;Learning;;;;"
"university","university;Dull;Stimulating;Learning;;;;"
"life","life;Dull;Stimulating;Joy;;;;"
"mathematics","mathematics;Abstract;Numbers;Understanding;;;;"
"system","system;Whole;Structure;Network;;;;"
"complex","complex;Chaotic;Difficult to understand;Abstract;;;;"
"age","26"
"gender","Male"
"nationality","Canadian"
"firstlang","English"
"job","Student"
