"word","resp"
"university","university;Study;Students;Teachers;3;5;4;3"
"chemistry","chemistry;Physics;Book;Fire;4;3;5;5"
"art","art;Paintings;Drawing;Music;5;4;3;5"
"system","system;Operating system;IT;Logic;3;3;4;5"
"mathematics","mathematics;Formula;Algebra;Economics;5;5;4;5"
"physics","physics;Weight;Mass;Study;4;3;3;5"
"complex","complex;Formula;Problem;Solving;5;5;4;5"
"biology","biology;Green;Life;Microscope;3;5;5;4"
"school","school;Teachers;Kids;Youth;4;4;5;5"
"life","life;Beautiful;Short;Love;5;5;2;5"
"age","37"
"gender","Male"
"nationality","Italian"
"firstlang","Italian"
"job","Compliance Officer in the financial sector"
