"word","resp"
"life","life;cells;universe;biology;5;4;5;4"
"physics","physics;astronomy;optics;engineering;5;5;5;4"
"university","university;learning;study;teaching;5;4;4;5"
"complex","complex;interesting;complicated;detailed;3;4;4;5"
"mathematics","mathematics;numbers;theoretical;impact;3;4;3;4"
"art","art;beauty;colourful;intriguing;4;5;3;4"
"chemistry","chemistry;smells;reactions;safety;4;2;3;3"
"biology","biology;wriggling;life;microscope;4;3;5;4"
"school","school;study;teacher;learning;3;4;5;4"
"system","system;complex;framework;reference;3;4;3;5"
"age","49"
"gender","male"
"nationality","Netherlands"
"firstlang","Dutch"
"job","scientist"
"stem","3"
