"word","resp"
"life","life;death ;flowers;rabbits;5;1;5;5"
"physics","physics;science;atoms ;energy;4;5;5;4"
"university","university;students;Oxford;buildings;4;4;5;3"
"complex","complex;difficult ;interesting ;DNA;4;4;5;5"
"mathematics","mathematics;sums;calculator ;science;4;3;2;5"
"art","art;paints ;creativity ;painting ;5;5;5;4"
"chemistry","chemistry;chemicals;love;working;3;2;5;4"
"biology","biology;insects;bodies ;school;5;5;5;3"
"school","school;pupils;primary ;subjects;3;3;4;2"
"system","system;transport ;networks ;biology;3;2;2;4"
"age","39"
"gender","female"
"nationality","british"
"firstlang","english"
"job","science writer / educational research"
"stem","3"
