"word","resp"
"life","life;DEATH;AFTERLIFE;POISON;4;3;1;5"
"physics","physics;CHEMISTRY;ENGLISH;MATHEMATICS;5;5;5;5"
"university","university;LIFE;DEGREE;ROBE;5;4;3;3"
"complex","complex;CHAOS;CARNAGE;ENTROPY;4;2;2;5"
"mathematics","mathematics;DECISION;STATISTICS;MECHANICS;5;2;2;3"
"art","art;SOLAR;ECLIPSE;SUNSPOT;4;4;5;3"
"chemistry","chemistry;STEREOISOMERISM;ENANTIOMERIC;MARKOVNIKOV;5;5;5;5"
"biology","biology;LADYBIRD;RED;STRAWBERRY;2;3;3;4"
"school","school;DEATH;KNIVES;THEATRE;3;3;5;5"
"system","system;REFLEX;COLLAPSE;OVERLOAD;1;2;2;2"
"age","30"
"gender","FEMALE"
"nationality","UK"
"firstlang","ENGLISH"
"job","SCIENCE COMMUNICATOR"
"stem","3"
