"word","resp"
"life","life;green;plants;sun;5;4;5;5"
"physics","physics;atoms;power;understanding;5;5;5;5"
"university","university;bricks;tables;elitism;5;3;3;1"
"complex","complex;string;messy;confusing;5;2;3;2"
"mathematics","mathematics;beautiful;elegant;pure;5;5;5;5"
"art","art;colourful;vibrant;canvas;5;5;5;3"
"chemistry","chemistry;blue;glass;bubbles;5;5;4;5"
"biology","biology;green;plants;bubbles;5;5;5;5"
"school","school;miserable;stifling;repressive;;1;1;1"
"system","system;ordered;confusing;diagram;3;4;2;2"
"age","23"
"gender","Female/Questioning"
"nationality","British"
"firstlang","British English"
"job","MSc Science Communication student"
"stem","3"
