"word","resp"
"life","life;death;alien;mortality;5;4;3;3"
"physics","physics;stars;difficult;atoms;5;5;4;5"
"university","university;study;develop;achieve;5;4;5;5"
"complex","complex;difficult;multi-diciplinary;challenging;5;4;5;5"
"mathematics","mathematics;logical;abstract;reasoning;4;4;2;4"
"art","art;challenging;enjoyable;confusing;4;3;5;4"
"chemistry","chemistry;test tubes;laboratory;drugs;4;3;3;4"
"biology","biology;life;animals;plants;4;4;3;3"
"school","school;learning;develop;enjoy;5;4;5;5"
"system","system;work;components;does something;5;;4;5"
"age","60"
"gender","male"
"nationality","british"
"firstlang","english"
"job","engineer"
"stem","3"
