"word","resp"
"life","life;death;cambridge nightclub;vim;5;4;1;1"
"physics","physics;whiteness;social physics;space;2;1;1;3"
"university","university;institution;teaching;research;3;3;4;4"
"complex","complex;buildings;difficult;rewarding;5;3;3;4"
"mathematics","mathematics;logic;elite;abstract;3;1;1;1"
"art","art;skill;own rules;privilege;3;5;1;1"
"chemistry","chemistry;relationships;love island;attraction;3;3;3;3"
"biology","biology;life;genetic determinism;animals;3;3;1;3"
"school","school;discipline;train;conform;3;2;4;1"
"system","system;power;organisation;complex;3;2;4;3"
"age","27"
"gender","Male"
"nationality","United Kingdom"
"firstlang","English"
"job","Science Communciation Researcher"
"stem","1"
