"word","resp"
"life","life;breathing;nature;force;5;5;4;3"
"physics","physics;gravity;einstien;newton;4;3;3;3"
"university","university;degree;learning;freedom;4;4;5;5"
"complex","complex;difficult;life;society;4;4;4;4"
"mathematics","mathematics;algebra;solving equations;modelling;4;5;4;4"
"art","art;colour;painting;still life;5;5;4;4"
"chemistry","chemistry;pharmaceuticals;experiments;attraction;5;3;5;5"
"biology","biology;life;cells;genetics;4;4;5;5"
"school","school;childhood;learning;rules;4;4;5;2"
"system","system;working;organise;order;4;4;5;4"
"age","46"
"gender","female"
"nationality","uk"
"firstlang","english"
"job","science writer"
"stem","3"
