"word","resp"
"life","life;Science;Natural;biology;4;4;3;3"
"physics","physics;Space;Earth ;nerd;5;3;3;1"
"university","university;Traditional;Education;Student life;2;1;5;2"
"complex","complex;Multiple;Not easy to quantify;Real;5;5;3;4"
"mathematics","mathematics;Equations;Model;Quantity ;5;3;5;2"
"art","art;Creative;imagination;Story;4;4;5;5"
"chemistry","chemistry;Laboratory;Flasks;Food;3;3;2;5"
"biology","biology;Animals;Plants;Nature;3;4;5;5"
"school","school;Restrictive;Socialisation;Children;2;1;2;4"
"system","system;Complex;Process;Ecosystem;5;5;5;5"
"age","55"
"gender","Female"
"nationality","British European"
"firstlang","Bilingual English spanish"
"job","Consultant (engineering skills)"
"stem","3"
