"word","resp"
"life","life;fulfilment;hope;energy;5;4;5;4"
"physics","physics;maths;stars;science;4;4;5;5"
"university","university;study;career;socialising;3;2;3;4"
"complex","complex;communication;web;structure;5;5;4;3"
"mathematics","mathematics;numbers;calculator;philosophy;3;2;2;5"
"art","art;beauty;expression;freedom;5;5;5;5"
"chemistry","chemistry;life;experiment;make-up;5;5;4;5"
"biology","biology;ecosystem;fruit;connection;5;3;3;5"
"school","school;pupil;peer pressure;learning;3;2;2;4"
"system","system;relationships;efficiency;progress;3;5;4;5"
"age","27"
"gender","female"
"nationality","British"
"firstlang","English"
"job","Science Communicator"
"stem","3"
