"word","resp"
"life","life;biology;study;animal;5;5;4;5"
"physics","physics;hard;atoms;professors;2;2;3;3"
"university","university;study;library;lectures;5;5;4;3"
"complex","complex;difficult;tough;demanding;3;3;3;3"
"mathematics","mathematics;tricky;school;achieable;3;2;4;5"
"art","art;meh;painting;drawing;3;1;2;2"
"chemistry","chemistry;molecules;bunsen burner;periodic table;3;4;4;2"
"biology","biology;life;cells;evolution;5;5;4;5"
"school","school;kids;teachers;playtime;3;4;4;4"
"system","system;plan;;;3;5;;"
"age","29"
"gender","female"
"nationality","uk"
"firstlang","british"
"job","education programme developer"
"stem","3"
