"word","resp"
"life","life;long;health;love;5;5;5;5"
"physics","physics;neurons;college;mr. b;4;4;4;3"
"university","university;San Diego;dorm;life;5;5;5;5"
"complex","complex;interesting;worthwhile;debate;5;5;5;4"
"mathematics","mathematics;cousin;needed;daily;4;5;4;5"
"art","art;life;love;everywhere;5;5;5;5"
"chemistry","chemistry;cooking;explosions;kids;5;5;4;5"
"biology","biology;life;animals;critical;5;5;5;4"
"school","school;learning;children;curiosity;5;5;5;5"
"system","system;nature;computer;office;3;5;2;2"
"age","45"
"gender","female"
"nationality","American"
"firstlang","English"
"job","author/marine biologist/mum"
"stem","3"
