"word","resp"
"life","life;people;planet;nature;5;4;5;4"
"physics","physics;hard;maths;professor;4;1;3;2"
"university","university;degree;study;student;3;3;3;3"
"complex","complex;difficult;tricky;psychology;2;1;1;3"
"mathematics","mathematics;calculation;equation;answer;3;3;3;4"
"art","art;science;paint;collaboration;4;4;3;5"
"chemistry","chemistry;beaker;flask;nobel;3;3;3;4"
"biology","biology;animal;science;dissection;2;4;4;1"
"school","school;system;teacher;educate;4;3;4;2"
"system","system;thinking;mode;ecosystem;3;4;2;4"
"age","30"
"gender","Female"
"nationality","British"
"firstlang","English"
"job","Product Manager"
"stem","3"
