"word","resp"
"life","life;cycle;method;food;5;3;3;5"
"physics","physics;technology;concept;curiosity;3;4;3;5"
"university","university;study;engage;education;5;4;5;4"
"complex","complex;systems;concept;complicated;1;3;3;1"
"mathematics","mathematics;numbers;queen of sciences;abstract;3;3;4;2"
"art","art;life;beauty;intelligence;5;5;5;5"
"chemistry","chemistry;valence;atoms;chemicals;3;3;3;2"
"biology","biology;life;organism;processes;5;5;5;4"
"school","school;learning;teacher;educate;5;5;3;5"
"system","system;living systems;body;natural system;3;5;5;4"
"age","26"
"gender","Male"
"nationality","Indian"
"firstlang","Hindi"
"job","Outreach Manager"
"stem","3"
