"word","resp"
"life","life;animals;plants;biology;5;5;5;5"
"physics","physics;maths;formula;science;5;5;5;5"
"university","university;professor;friends;research;4;4;5;5"
"complex","complex;difficult;science;;5;3;5;"
"mathematics","mathematics;numbers;formula;science;5;5;5;5"
"art","art;picture;gallery;artist;5;5;5;5"
"chemistry","chemistry;formula;science;liquid;5;5;5;3"
"biology","biology;life;career;organisms;5;5;5;5"
"school","school;friends;learn;life;5;5;5;5"
"system","system;HR;manager;way;3;2;3;3"
"age","31"
"gender","Female"
"nationality","Spanish"
"firstlang","Spanish"
"job","Science Communicator at the Natural History Museum"
"stem","3"
