"word","resp"
"life","life;Stress;green;;5;1;4;"
"physics","physics;Boyfriend;terrible;hard;2;5;1;2"
"university","university;work;research;science;4;3;3;4"
"complex","complex;system;interesting;maths;3;3;5;4"
"mathematics","mathematics;brilliant;fun;work;4;5;5;2"
"art","art;pretty;design;subjective;5;5;3;2"
"chemistry","chemistry;hard;boring;detailed;1;2;1;3"
"biology","biology;work;microscope;bacteria;3;2;4;3"
"school","school;past;lessons;children;3;3;3;4"
"system","system;analysis;computer;;3;4;5;"
"age","26"
"gender","Female"
"nationality","British"
"firstlang","English"
"job","phd student"
"stem","2"
