"word","resp"
"mathematics","mathematics;numbers;equations;problems;5;5;5;5"
"life","life;heart;soul;world;5;5;5;5"
"university","university;learning;study;friends;5;5;5;"
"biology","biology;plants;animals;life;5;5;5;5"
"physics","physics;laws;rules;world;5;5;5;"
"school","school;study;learn;friends;5;5;5;5"
"chemistry","chemistry;equations;laboratory;experiments;5;5;5;5"
"system","system;closed;open;;;;;"
"art","art;criativity;paintings;sculptures;5;5;5;5"
"complex","complex;difficult;;;4;4;5;"
"age","44"
"gender","female"
"nationality","portuguese"
"firstlang","portuguese"
"job","faculty "
"stem","3"
