"word","resp"
"mathematics","mathematics;Intelligent;complex;sum;2;4;4;3"
"life","life;love;time;philosophical;4;5;3;3"
"university","university;career;friends;exams;4;4;5;1"
"biology","biology;nature;human body;curing disease;4;5;4;5"
"physics","physics;theoretical;maths;universe;3;2;2;4"
"school","school;homework;lessons;break;3;2;2;4"
"chemistry","chemistry;experiments;dangerous;meticulous;4;4;2;3"
"system","system;interconnectivity;planets;gears;3;4;3;3"
"art","art;expression;vibrance;imagination;4;4;5;5"
"complex","complex;puzzle;logic;fun;3;4;4;5"
"age","23"
"gender","Male"
"nationality","Spanish"
"firstlang","Spanish"
"job","Student (Masters)"
"stem","2"
