"word","resp"
"mathematics","mathematics;sums;integration;geometry;5;5;5;5"
"life","life;flowers;breath;roller-coaster;5;5;4;3"
"university","university;library;inspiration;happiness;4;5;5;5"
"biology","biology;heart;diagram;flower;5;5;4;5"
"physics","physics;teacher;answers;book;5;4;5;5"
"school","school;best;friends;experience;5;5;5;5"
"chemistry","chemistry;okaish;flask;hexagon;3;3;2;5"
"system","system;change;computer;flow;3;2;3;4"
"art","art;emotion;struggle;depth;5;5;3;4"
"complex","complex;numbers;myself;boys;3;4;3;1"
"age","24"
"gender","female"
"nationality","Indian"
"firstlang","Hindi"
"job","Science Communicator"
"stem","3"
