"word","resp"
"system","system;IT;Process;Flow;3;4;4;4"
"mathematics","mathematics;School;Tables;Sums;5;4;3;3"
"complex","complex;Difficult;Deep;Intrigue;5;4;5;5"
"school","school;Friends;Teachers;Happy;3;5;2;5"
"chemistry","chemistry;Chemicals ;Periodic table;Laboratory;3;3;5;4"
"university","university;Degree;Professor;Difficult;5;5;4;4"
"biology","biology;Body;Cells;Homeopathy;5;5;5;5"
"physics","physics;Maths;Calculus;Study;5;3;2;4"
"life","life;Live;Long;Painful;3;4;3;3"
"art","art;Beauty ;Incomprehensible;Peder Mork Monsted;4;5;2;5"
"age","68"
"gender","Male"
"nationality","English"
"firstlang","English"
"job","Retired"
"stem","1"
