"word","resp"
"system","system;machine;biological;method;4;4;5;3"
"mathematics","mathematics;numbers;formulae;prediction;3;5;4;5"
"complex","complex;difficult;steps;ideas;5;5;3;5"
"school","school;rigid;education;rules;2;1;4;2"
"chemistry","chemistry;elements;molecules;glassware;3;5;5;5"
"university","university;education;research;quiet;3;4;5;5"
"biology","biology;organisms;environment;life;5;5;5;5"
"physics","physics;universe;particles;mechanics;4;5;3;4"
"life","life;tiring;exciting;varied;5;4;5;5"
"art","art;picture;colour;pompous;5;5;5;2"
"age","57"
"gender","m"
"nationality","UK"
"firstlang","English"
"job","STEM Teacher"
"stem","3"
