"word","resp"
"mathematics","mathematics;useful;teaching;physics;3;5;4;4"
"art","art;emotive;creative;colourful;4;3;5;4"
"university","university;friends;coursework;ideas;3;5;3;5"
"system","system;process;order;audit;3;3;4;4"
"life","life;death;birth;biology;4;2;3;3"
"physics","physics;astronomy;reality;practical;4;5;3;4"
"school","school;teaching;variety;inspire;3;4;5;5"
"biology","biology;water;plants;cells;3;3;3;3"
"chemistry","chemistry;diagrams;models;medicines;3;3;3;5"
"complex","complex;networks;multifaceted;large;3;3;3;3"
"age","25"
"gender","female"
"nationality","British"
"firstlang","English"
"job","Tutor/science communicator"
"stem","2"
