"word","resp"
"mathematics","mathematics;school;fun;clever;4;4;4;4"
"art","art;paint;easel;artists;3;2;4;3"
"university","university;red;clever;fun;4;2;3;"
"system","system;government;organise;rules;4;2;3;2"
"life","life;hard;confusing;alive;4;2;2;4"
"physics","physics;fun;university;universe;5;4;4;5"
"school","school;secondary school;friends;window;4;4;5;3"
"biology","biology;frog;blood;tables;3;2;2;2"
"chemistry","chemistry;boyfriend;lame;study;4;5;1;2"
"complex","complex;intriguing;challenge;difficult;2;4;2;1"
"age","25"
"gender","female"
"nationality","british"
"firstlang","english"
"job","STEM public engagement"
"stem","3"
