"word","resp"
"physics","physics;particle;astro;geophysics;5;5;5;5"
"art","art;painting;drawing;photography;5;2;5;5"
"chemistry","chemistry;chemicals;glassware;labcoas;5;3;3;3"
"system","system;weather;computer;process;3;4;5;5"
"life","life;biology;blood;evolution;5;3;3;5"
"school","school;learning;teachingq;exams;5;5;5;3"
"university","university;study;subject;degree;5;5;5;5"
"mathematics","mathematics;numbers;calculations;derivations;5;4;4;2"
"complex","complex;hard;structure;complicated;4;4;4;4"
"biology","biology;natural;life;evolution;4;4;5;5"
"age","26"
"gender","female"
"nationality","scottish"
"firstlang","english"
"job","policy officer"
"stem","3"
