"word","resp"
"school","school;class;teacher;learning;4;3;4;5"
"art","art;paint;painting;sculpture;4;4;4;4"
"university","university;study;friends;exams;4;4;5;3"
"physics","physics;me;fun;interesting;5;5;5;5"
"life","life;biology;span;living;5;5;3;3"
"system","system;transport;organisation;solar;3;2;4;5"
"mathematics","mathematics;teaching;arithmatic;calculus;5;4;3;3"
"biology","biology;cells;medicine;people;4;4;4;5"
"complex","complex;systems;brains;wiring;4;3;5;4"
"chemistry","chemistry;school;pipettes;equations;3;4;3;5"
"age","49"
"gender","F"
"nationality","British"
"firstlang","English"
"job","Public Engagement Officer"
"stem","3"
