"word","resp"
"system","system;roleplaying;way of doing things;mechanical;4;5;4;3"
"university","university;students;learning;research;5;4;5;5"
"complex","complex;intricate;difficult;buildings;3;4;2;3"
"physics","physics;universal laws;relativity;quantum theory;4;5;4;4"
"life","life;chaotic;regenerative;finite;5;3;5;2"
"mathematics","mathematics;underpinning;useful;complex;4;4;4;3"
"art","art;beautiful;subjective;creativity;4;4;2;5"
"chemistry","chemistry;reactions;building blocks;;4;3;4;"
"biology","biology;life;medicine;variety;4;5;5;5"
"school","school;learning;pupils;focussed;4;5;4;3"
"age","49"
"gender","Male"
"nationality","British"
"firstlang","English"
"job","Local Government Officer"
"stem","2"
