"word","resp"
"chemistry","chemistry;A level ;liquid;bonds;4;1;3;3"
"biology","biology;body;plants;labatory ;4;4;2;4"
"life","life;hard;human ;breathing;5;1;5;4"
"complex","complex;hard;difficult;complicated ;1;1;1;1"
"physics","physics;universe;maths;electricity ;4;5;1;3"
"university","university;work;fun;degree;5;1;5;2"
"mathematics","mathematics;numbers;formulas;calculator ;3;3;2;3"
"school","school;learning ;children ;hard;1;4;5;1"
"system","system;process ;organisation ;computer;3;3;3;1"
"art","art;fun;creative;painting ;5;5;5;5"
"age","32"
"gender","Female"
"nationality","British"
"firstlang","English"
"job","Public Engagement Officer "
"stem","3"
