"word","resp"
"chemistry","chemistry;molecules;bonding;spatial;3;5;2;4"
"life","life;vitality;happiness;work;5;5;3;3"
"university","university;academic;learning;community;4;5;4;5"
"complex","complex;difficult;complicated;understanding;4;2;3;4"
"system","system;development;method;classfication;3;4;3;2"
"art","art;expression;nuance;explanation;3;5;4;2"
"school","school;learning;education;calendar;3;4;2;2"
"biology","biology;life;beings;association;4;5;3;3"
"physics","physics;laws;thermodynamics;quantum;2;2;3;3"
"mathematics","mathematics;theorems;justification;derivation;2;2;2;1"
"age","45"
"gender","Female"
"nationality","American"
"firstlang","English"
"job","University Teacher/Lecturer"
"stem","3"
