"word","resp"
"school","school;Learning;Discipline;Experimentation;4;5;3;5"
"complex","complex;Arrange;Design;Thought;3;4;4;5"
"chemistry","chemistry;Discovery;Life;Understanding;5;5;5;5"
"art","art;Creativity;Painting;Humanity;3;4;2;5"
"biology","biology;Life;Complications;Interaction;4;5;2;3"
"mathematics","mathematics;Practise;Graphs;Sums;4;2;3;3"
"system","system;Computer;Order;Exceptions to;3;4;4;1"
"university","university;Study;Enjoyment;Work;5;4;5;4"
"life","life;Discovery;Chemistry;Mundane;5;5;5;2"
"physics","physics;Mathematics;Mechanics;Stereotypes;4;4;3;2"
"age","23"
"gender","Non-binary"
"nationality","British"
"firstlang","English"
"job","PGCE student"
"stem","3"
