"word","resp"
"system","system;lines;pistons;trains;4;4;2;4"
"life","life;green;planet;battery;5;5;5;2"
"school","school;children;lessons;desks;2;2;4;3"
"art","art;paint;colours;canvas;5;3;5;2"
"biology","biology;lab;green;bubbles;2;3;5;5"
"mathematics","mathematics;puzzles;truth;thinking;5;5;5;5"
"university","university;mortar boards;old buildings;knowledge;5;3;5;5"
"chemistry","chemistry;reaction;smells;fizzing;4;5;4;5"
"physics","physics;metal;mathematics;thinking;4;2;4;3"
"complex","complex;tangled;knitting;glass;4;3;2;3"
"age","47"
"gender","female"
"nationality","british"
"firstlang","english"
"job","editor"
"stem","3"
