"word","resp"
"university","university;FSU;Edinburgh;Trinity;5;4;4;3"
"biology","biology;microbe;ocean;chemistry ;4;3;4;2"
"physics","physics;stars;black holes;universe;5;5;5;5"
"mathematics","mathematics;hard;stressful;statistics;2;2;1;4"
"system","system;facility;PhD;research;1;1;2;2"
"art","art;science;gallery;snob;4;4;4;1"
"chemistry","chemistry;boring;balancing;yield;1;1;3;2"
"life","life;science;stories;cave;5;5;5;4"
"complex","complex;allegory;statement;system;3;3;2;1"
"school","school;university;primary;education;3;4;4;5"
"age","30"
"gender","female"
"nationality","American"
"firstlang","English"
"job","science communicator, social media manager, PhD student"
"stem","3"
