"word","resp"
"life","life;Death;Born ;Nature;5;2;5;5"
"complex","complex;Numbers;Confusing;Layers ;3;5;2;4"
"system","system;Gaming;Computer;Breaking;3;1;5;3"
"art","art;Modern;Colour ;Gallery;4;4;3;4"
"chemistry","chemistry;Molecules;Atoms;Science;4;4;4;5"
"university","university;Degree;Learning ;College;5;5;5;5"
"biology","biology;Science ;Life;Study;3;5;5;5"
"physics","physics;Particles ;Nature;Maths;5;5;5;5"
"mathematics","mathematics;Job;Learning;Fun;5;5;5;5"
"school","school;Job;Teaching ;Learning;5;5;5;5"
"age","40"
"gender","Female"
"nationality","UK"
"firstlang","British"
"job","Teacher"
"stem","3"
