"word","resp"
"system","system;Web;Network;Process;3;3;4;2"
"life","life;Green;Movement;Death;5;5;5;1"
"physics","physics;Lab;Logic;Why;3;3;4;5"
"art","art;Beauty;Creative;Making;5;5;5;5"
"chemistry","chemistry;Colour;Lab ;Process;3;5;3;2"
"mathematics","mathematics;Clarity;Formulae;Addition;4;5;2;4"
"complex","complex;System ;Politics;Structure ;2;3;2;4"
"biology","biology;Évolution ;Life;Randomness ;5;5;5;5"
"university","university;Academic;Degree;Student;3;2;3;3"
"school","school;Children;Uniform;Curriculum ;3;4;2;2"
"age","39"
"gender","F"
"nationality","Uk"
"firstlang","English "
"job","Pr manager with a science degree"
"stem","1"
