"word","resp"
"art","art;creativity;beauty;colour;4;5;5;5"
"complex","complex;difficult;tiring;challenge;3;1;1;4"
"biology","biology;plants;animals;diagrams;4;5;5;2"
"chemistry","chemistry;elements;equations;test tubes;2;2;1;2"
"school","school;structure;lessons;teachers;3;3;3;3"
"system","system;rigour;structure;process;3;3;3;4"
"physics","physics;maths;time;distance;1;1;3;3"
"mathematics","mathematics;numbers;equations;worry;1;1;1;1"
"life","life;spring;water;;5;5;5;"
"university","university;study;friends;exploration;4;4;5;5"
"age","45"
"gender","female"
"nationality","British"
"firstlang","English"
"job","Director"
"stem","1"
