"word","resp"
"physics","physics;Space;Electricity;formulae;5;5;5;3"
"university","university;Exams;learning;lunch;5;1;5;5"
"art","art;colourful;beautiful;emotions;5;5;5;5"
"system","system;connections;process;together;3;3;4;3"
"school","school;teacher;lockers;students;3;3;3;3"
"chemistry","chemistry;bubbles;experiment;fire;5;5;5;5"
"life","life;bacteria;animals;plants;5;5;5;5"
"complex","complex;numerous;connections;busy;4;3;5;2"
"mathematics","mathematics;numbers;functions;pencil;3;3;3;3"
"biology","biology;cells;life;conservation;5;5;5;5"
"age","32"
"gender","woman"
"nationality","British"
"firstlang","English"
"job","University administrator"
"stem","3"
