"word","resp"
"biology","biology;cells;animals;plants;4;4;4;4"
"complex","complex;complicated;organisms;words;3;2;4;2"
"school","school;teacher;exams;stressful;3;2;2;1"
"art","art;paint;rubbish;mess;3;4;2;4"
"system","system;biology;computer;;3;4;4;"
"life","life;death;green;;4;1;5;"
"chemistry","chemistry;atoms;fire;fun;4;3;4;5"
"physics","physics;numbers;maths;mechanics;3;2;3;4"
"university","university;societies;work;life-changing;4;5;3;5"
"mathematics","mathematics;numbers;mechanics;pure;4;4;4;4"
"age","28"
"gender","Female"
"nationality","British"
"firstlang","English"
"job","Learning Coordinator (STEM)"
"stem","3"
